date,result ranking,general classification,race name,distance,PCS point,UCI point
14.03,21,,Paris-Troyes (1.6),,,
07.03,1,,Les Monts du Luberon - Trophée Luc Leblanc (1.6),156,15,
05.07,DNF,,Tour du Jura (1.5),171,,
29.06,3,,National Championships Great Britain - Road Race (NC),213,7,
10.04 » 14.04,,,Circuit des Ardennes International (2.6),,,
,2,,Mountains classification,,,
,43,,Points classification,,,
,67,,General classification,,,
14.04,107,,Stage 4b - Charleville-Mézières › Charleville-Mézières,76,,
13.04,18,45,Stage 4a (ITT) - Saint-Laurent › Gernelle,13,,
12.04,75,60,Stage 3 - Sedan › Sedan,139,,
11.04,72,64,Stage 2 - Nouzonville › Nouzonville,132,,
10.04,72,72,Stage 1 - Nouvion › Nouvion,164,,
30.03,2,,Annemasse-Bellegarde et retour (1.6),,10,
16.03,11,,Bordeaux - Saintes (1.6),,,
11.10,123,,World Championships U23 - Road Race (WC),166,,
04.08,45,,European Championships U23 - Road Race (CC),163.8,,
16.06,58,,Tour du Jura (1.5),193,,
01.05,10,,Liège-Bastogne-Liège U23 (1.7.1),180,,
12.10,DNF,,World Championships U23 - Road Race (WC),169,,
27.09 » 30.09,,,Circuit Franco-Belge (2.4),,,
29.09,DNF,,Stage 3 - Bondues › Pecq/Hérinnes,184.3,,
28.09,87,87,Stage 2 - Bray-Dunes › Komen,186.7,,
27.09,98,97,Stage 1 - Moeskroen › Mont de l'Enclus,174.4,,
26.08,68,,European Championships U23 - Road Race (CC),163.8,,
25.07 » 29.07,,,Sachsen-Tour International (2.1),,,
28.07,85,,Stage 4b - Radeberg › Freital,114,,
28.07,89,,Stage 4a (ITT) - Königsbrück › Königsbrück ,29,,
27.07,64,,Stage 3 - Annaberg/Buchholz › Dübeln,160,,
26.07,96,,Stage 2 - Leipzig › Annaberg/Buchholz,184,,
25.07,107,,Stage 1 - Weisswasser › Leipzig,212,,
13.10,DNF,,World Championships U23 - Road Race (WC),169,,
25.06,19,,National Championships Great Britain - Road Race (NC),206,,
31.03 » 02.04,,,Le Triptyque des Monts et Châteaux (),,,
,12,,General classification,,,
02.04,6,,Stage 3 - Beloeil › Frasnes-lez-Buissenal,147,,
11.10,DNF,,World Championships MJ - Road Race (WC),137.6,,
