date,result ranking,general classification,race name,distance,PCS point,UCI point
08.10,28,,Gran Premio Bruno Beghelli (1.1),206.9,,
24.08,17,,GP Industria Artigianato e Commercio Carnaghese (1.1),180.4,4,
17.08,36,,Coppa Bernocchi (1.1),200,,
09.08,30,,Trofeo Città di Castelfidardo (1.2),199,,
09.08,30,,Trofeo Citta' di Castelfidardo (1.1),199,,
03.08,90,,GP Città di Camaiore (1.1),193.7,,
03.06,27,,Memorial Marco Pantani (1.2),176.6,,
16.04,105,,Giro d'Oro (1.1),192,,
27.09,22,,Ruota d'Oro (1.2),163,,
13.08,4,,GP Citta' di Felino (1.2),160,4,
17.07,7,,Coppa Colli Briantei Internazionale (1.2),,,
10.07,7,,Giro della Valsesia 2 (1.2),180,,
09.07,4,,Giro della Valsesia 1 (1.2),137,4,
26.06,6,,Giro delle Valli Aretine (1.2),155,1,
07.04 » 10.04,,,Settimana Ciclista Lombarda (2.2),,,
,106,,General classification,,,
10.04,119,,Stage 4 - Trescore Balneario › Selvino,145.7,,
09.04,114,119,Stage 3 - Roncadelle › Roncadelle,162,,
07.04,129,129,Stage 2 (ITT) - Casazza › Colle Gallo,6.6,,
07.04,129,129,Stage 1 - Brignano Gera d'Adda › Brignano Gera d'Adda,99.4,,
08.09,7,,Astico-Brenta (1.6),159,,
14.08,6,,GP Citta' di Felino (1.6),159,1,
11.08,7,,Trofeo Internazionale Bastianelli (1.6),153,,
04.07,5,,Freccia dei Vini (1.6),160,2,
19.06,7,,GP Industria Artigianato e Commercio Carnaghese (1.5),170,,
02.06 » 06.06,,,Giro del Friuli Venezia Giulia (2.6),,,
04.06,9,,Stage 3 - Muggia › Muggia,112,,
09.05,16,,GP Industrie del Marmo (1.6),167,,
13.04,18,,Coppa Apollo 17 (1.6),155,,
30.09,20,,Ruota d'Oro - Terranuova (1.6),162,,
