date,result ranking,general classification,race name,distance,PCS point,UCI point
08.05,65,,Omloop der Kempen (1.2),200,,
09.05,34,,Omloop der Kempen (1.2),200,,
03.08,51,,Sparkassen Giro (1.1),175,,
02.04 » 06.04,,,Cinturón Ciclista a Mallorca (2.2),,,
,21,,General classification,,,
06.04,30,,Stage 5 - Palma › Palma,92,,
05.04,13,,Stage 4 - María de la Salud › María de la Salud,129,,
04.04,29,,Stage 3 - Inca › Inca,134,,
03.04,25,,Stage 2 - Port de Pollença › Port de Pollença,132,,
02.04,74,,Stage 1 (ITT) - El Arenal › El Arenal,7,,
05.08,30,,Sparkassen Giro Bochum (1.1),175.2,,
06.03 » 11.03,,,Giro del Capo (2.2),,,
,27,,Mountains classification,,,
,10,,General classification,,1,
11.03,39,,Stage 5 - Cape Town › Cape Town,109,,
10.03,9,,Stage 4 (ITT) - Signal Hill › Signal Hill,5.5,,
09.03,7,,Stage 3 - Bloemendal › Bloemendal,128.3,,
08.03,11,,Stage 2 - Stellenbosch › Stellenbosch,120.6,,
07.03,17,,Stage 1 - Paarl › Tokara,129.1,,
06.03,70,,Prologue - Paarl › Paarl,5.5,,
