date,result ranking,general classification,race name,distance,PCS point,UCI point,year
15.08,4,,Tre Valli Varesine (1.HC) ,199,50,,2006
12.08,32,,Clasica Ciclista San Sebastian (PT) ,227,5,,2006
11.08,1,,Giro del Lazio (1.HC) ,196,125,,2006
08.08,5,,GP Fred Mengoni (1.1) ,198,28,,2006
03.08,78,,GP Città di Camaiore (1.1) ,193.7,,,2006
30.07,8,,Vattenfall Cyclassics (WT) ,243.2,50,,2006
20.07 » 23.07,,,Brixia Tour (2.1) ,,,,2006
,28,,General classification ,,,,2006
23.07,53,,Stage 4 - Bassano Bresciano › Palazzolo sull'Oglio ,177.9,,,2006
22.07,1,,Stage 3b - Pian Camuno › Saviore dell'Adamello ,63.3,20,,2006
22.07,79,,Stage 3a - Pisogne › Darfo Boario Terme ,101.8,,,2006
21.07,72,,Stage 2 - Buffalora › Passo Maniva ,152,,,2006
20.07,2,,Stage 1 - San Vigilio di Concesio › Toscolano Maderno ,178.8,12,,2006
03.07 » 09.07,,,Hervis Tour - Tour of Austria (2.1) ,,,,2006
,19,,General classification ,,2,,2006
09.07,58,19,Stage 7 - Podersdorf am See › Wien-Rathausplatz ,129,,,2006
08.07,30,19,Stage 6 (ITT) - Podersdorf am See › Podersdorf am See ,31,,,2006
07.07,75,21,Stage 5 - Wolfsberg › Graz ,170,,,2006
06.07,21,21,Stage 4 - Kitzbühel › Prägraten ,182,,,2006
05.07,30,29,Stage 3 - Salzburg › Kitzbüheler Horn ,196,,,2006
04.07,83,78,Stage 2 - Linz › Salzburg ,188,,,2006
03.07,79,80,Stage 1 - Gars-Kamp › Gars-Kamp ,146,,,2006
10.06 » 18.06,,,Tour de Suisse () ,,,,2006
,65,,General classification ,,5,,2006
18.06,74,,"Stage 9 (ITT) - 
Kerzers › Bern ",30.7,,,2006
17.06,43,64,Stage 8 - Ambri › Ambri ,166.3,,,2006
16.06,79,85,"Stage 7 - 
St. Moritz › Ascona ",233.7,,,2006
15.06,112,90,"Stage 6 - 
Fiesch › La Punt ",212.2,,,2006
14.06,55,82,"Stage 5 - 
La Chaux-de-Fonds › Leukerbad ",229.5,,,2006
13.06,67,97,"Stage 4 - 
Niederbipp › La Chaux-de-Fonds ",161.3,,,2006
12.06,153,152,"Stage 3 - 
Einsiedeln › Arlesheim ",160,,,2006
11.06,136,156,"Stage 2 - 
Bremgarten › Einsiedeln ",155.6,,,2006
10.06,154,154,Stage 1 - Baden › Baden ,154,,,2006
03.06,7,,Memorial Marco Pantani (1.2) ,176.6,,,2006
15.05 » 21.05,,,Volta Ciclista a Catalunya (2.PT) ,,,,2006
,101,,General classification ,,5,,2006
21.05,126,,Stage 7 - Lloret de Mar › Barcelona ,122,,,2006
20.05,89,,Stage 6 - Manlleu › Lloret de Mar ,166,,,2006
19.05,80,,Stage 5 - Llivia › Manlleu ,162,,,2006
18.05,134,,Stage 4 - Perafort › Vallnord (Sector Arcalís) Ando ,225,,,2006
17.05,182,,Stage 3 - Salou › Sant Carles de la Ràpita ,177,,,2006
16.05,115,,Stage 2 - Cambrils › Cambrils ,157,,,2006
15.05,124,,Stage 1 (ITT) - Salou › Salou ,12,,,2006
30.04,2,,Giro di Toscana (1.1) ,198.5,55,56,2006
29.04,21,,GP Industria & Artigianato-Larciano (1.1) ,200,,,2006
23.04,26,,Liège - Bastogne - Liège (PT) ,262,14,,2006
19.04,26,,La Flèche Wallonne (PT) ,202,9,,2006
16.04,58,,Amstel Gold Race (PT) ,253.1,5,,2006
09.04,DNF,,Klasika Primavera (1.1) ,171,,,2006
03.04 » 08.04,,,Vuelta al Pais Vasco (2.UWT) ,,,,2006
,103,,General classification ,,5,,2006
08.04,122,,Stage 6 (ITT) - Zalla › Zalla ,24,,,2006
07.04,71,106,Stage 5 - Vitoria- Gasteiz › Zalla ,178,,,2006
06.04,113,114,Stage 4 - Lerín › Vitoria- Gasteiz ,172,,,2006
05.04,127,118,Stage 3 - Segura › Lerín ,170,,,2006
04.04,127,129,Stage 2 - Irún › Segura ,155,,,2006
03.04,101,102,Stage 1 - Irún › Irún ,130,,,2006
18.03,82,,Milano-Sanremo (PT) ,294,5,,2006
08.03 » 14.03,,,Tirreno-Adriatico (WT) ,,,,2006
,81,,General classification ,,5,,2006
14.03,110,,Stage 7 - Campli › San Benedetto del Tronto ,166,,,2006
13.03,43,,Stage 6 - San Benedetto del Tronto › Torricella Sicur ,182,,,2006
12.03,87,,Stage 5 (ITT) - Servigliano › Servigliano ,20,,,2006
11.03,77,,Stage 4 - Paglieta › Civitanova Marche ,219,,,2006
10.03,86,,Stage 3 - Avezzano › Paglieta ,183,,,2006
09.03,149,,Stage 2 - Tivoli › Frascati ,171,,,2006
08.03,110,,Stage 1 - Tivoli › Tivoli ,167,,,2006
01.03 » 05.03,,,Vuelta a Murcia (2.1) ,,,,2006
,15,,Points classification ,,,,2006
,9,,General classification ,,16,,2006
05.03,44,,Stage 5 - Murcia › Murcia ,138.7,,,2006
04.03,9,9,Stage 4 - Caravaca › Collado Bermejo ,146.6,,,2006
03.03,47,10,Stage 3 (ITT) - Jumilla › Jumilla ,21.3,,,2006
02.03,3,9,Stage 2 - Alcantarilla › Alhama De Murcia ,172.4,7,,2006
01.03,58,58,Stage 1 - Murcia › Las Torres De Cotilla ,162.5,,,2006
26.02,DNF,,GP Lugano (1.1) ,174.3,,,2006
26.02,17,,Clasica de Almeria (1.1) ,173.1,4,,2006
14.02,8,,Trofeo Laigueglia (1.1) ,183.3,16,,2006
27.08 » 18.09,,,Vuelta a España () ,,,,2005
28.08,DNF,,Stage 2 - Granada › Córdoba ,189.3,,,2005
27.08,47,48,Stage 1 (ITT) - Granada › Granada ,7,,,2005
13.08,101,,Clasica Ciclista San Sebastian (PT) ,227,5,,2005
10.08,2,,Trofeo Città di Castelfidardo (1.2) ,199,10,,2005
10.08,2,,Trofeo Citta' di Castelfidardo (1.1) ,199,55,,2005
09.08,46,,GP Fred Mengoni (1.1) ,203.8,,,2005
06.08,27,,Giro del Lazio (1.HC) ,210,,,2005
31.07,49,,HEW Cyclassics (WT) ,250,5,,2005
22.07 » 24.07,,,Brixia Tour (2.1) ,,,,2005
,14,,General classification ,,7,,2005
