date,result ranking,general classification,race name,distance,PCS point,UCI point,year
03.12,21,,Pan American Youth Games Road Race U23 (1.2),135,,,2021
14.08,9,,Pan American Championships U23 - Road Race (CC),140,16,25,2021
25.07,4,,National Championships Chile U23 - Road Race (NC),,,15,2021
21.04,43,,National Championships Chile - Road Race (NC),150,,,2019
18.04,6,,National Championships Chile U23 - ITT (NC),30,,,2019
06.03 » 10.03,,,Vuelta Ciclista a Chiloe (2.2),,,,2019
,7,,Youth classification,,,,2019
,32,,General classification,,,,2019
10.03,34,,Stage 4 (ITT) - Puqueldón › Isla Lemuy,11.5,,,2019
09.03,27,28,Stage 3 - Chonchi › Chonchi,117,,,2019
08.03,24,30,"Stage 2 - Curaco de Velez › Achao, Isla Quinchao",117,,,2019
07.03,59,58,Stage 1 - Quellón › Quellón,121.7,,,2019
06.03,27,27,Prologue - Castro › Castro,1.99,,,2019
06.08,16,,Panamerican Championships MJ - Road Race (CC),114,,,2017
14.04,2,,National Championships Chile MJ - ITT (NC),,8,,2017
12.06,14,,Panamerican Championships MJ - Road Race (CC),120,2,,2016
