date,result ranking,race name,distance
2021-07-18,25,Stage 8 - Delingha › Delingha ,105.0
2021-07-17,31,Stage 7 - Chaka › Wulan ,89.2
2021-07-16,22,Stage 6 - Qinghai Lake › Chaka ,139.5
2021-07-15,29,Stage 5 - Gonghe › Xihaizhen ,126.3
2021-07-14,11,Stage 4 - Guide › Longyangxia ,100.5
2021-07-13,12,Stage 3 - Huzhu › Guide ,161.6
2021-07-12,7,Stage 2 - Xining › Maliantan ,162.2
2021-07-11,36,Stage 1 - Xining › Xining ,108.8
2021-07-18,25,Stage 8 - Delingha › Delingha,105.0
2021-07-17,31,Stage 7 - Chaka › Wulan,89.2
2021-07-16,22,Stage 6 - Qinghai Lake › Chaka,139.5
2021-07-15,29,Stage 5 - Gonghe › Xihaizhen,126.3
2021-07-14,11,Stage 4 - Guide › Longyangxia,100.5
2021-07-13,12,Stage 3 - Huzhu › Guide,161.6
2021-07-12,7,Stage 2 - Xining › Maliantan,162.2
2021-07-11,36,Stage 1 - Xining › Xining,108.8
2020-02-15,DNF,Malaysian International Classic Race (1.1),159.0
2020-02-14,42,Stage 8 - Dataran Lang › Kuah,108.5
2020-02-13,73,Stage 7 - Bagan › Alor Setar,130.4
2020-02-12,37,Stage 6 - Taiping › Penang Island,150.9
2020-02-11,35,Stage 5 - Kuala Kubu Baru › Ipoh,165.8
2020-02-10,33,Stage 4 - Putrajaya › Genting Highlands,156.1
2020-02-09,61,Stage 3 - Temerloh › Kuala Lumpur,162.5
2020-02-08,55,Stage 2 - Kuala Terengganu › Kerteh,175.5
2020-02-07,68,Stage 1 - Kuching › Kuching,85.6
2020-01-06,43,Stage 3 - Bokor › Kep,142.3
2020-01-05,15,Stage 2 - Botum Sakor › Bokor Hill,166.8
2020-01-04,17,Stage 1 - Daras Sakor › Koh Hong,145.5
2019-11-23,76,Stage 7 - Xiaotangshan Culture Center › Xiaotangshan Culture Center,117.0
2019-11-22,49,Stage 6 - Yong Tai › Yun Ding,128.2
2019-11-21,43,Stage 5 - Fuqing › Fuqing,123.0
2019-11-20,52,Stage 4 - Lianjiang › Lianjiang,106.8
2019-11-19,122,Stage 3 - Binjiang Binhai Road › Qinjiang Manchu,113.0
2019-11-18,113,Stage 2 - Langqi Hongguang Lake Park › Langqi Hongguang Lake Park,118.0
2019-11-17,59,Stage 1 - Ma Wei › Ku Liang,107.4
2019-11-10,21,Stage 3 - Yongchun › Beixi,112.6
2019-11-09,33,Stage 2 - Shishi › Fengze,108.5
2019-11-08,32,Stage 1 - Jinjiang › Quanzhou,101.4
2019-10-19,42,Stage 5 - Kuala Lipis › Setiawangsa,151.4
2019-10-18,49,Stage 4 - Sungai Koyan › Cameron Highlands,89.5
2019-10-17,77,Stage 3 - Kuantan › Karak,172.7
2019-10-16,91,Stage 2 - Kuala Terengganu › Chukai,157.4
2019-10-15,90,Stage 1 - Dungun › Kuala Terengganu,180.6
2019-09-22,42,Stage 4 - Mingshan › Mingshan,91.2
2019-09-21,63,Stage 3 - Mingshan › Mengding Mountain,104.7
2019-09-19,68,Stage 2 - Anshun › Anshun,127.8
2019-09-17,54,Stage 1 - Hewan  › Jianghua,141.3
2019-09-16,99,Prologue - Hewan  › Hewan ,5.2
2019-09-06,DNF,Stage 1 - Asahikawa › Shintoku,181.6
2019-08-31,55,Stage 2 - Almaty › Medeo ice skating stadium,160.0
2019-08-30,83,Stage 1 - Almaty › Almaty,118.6
2019-08-23,60,Stage 5 - Gilimanuk › Gianyar,136.8
2019-08-22,74,Stage 4 - Jember › Banyuwangi,147.3
2019-08-21,79,Stage 3 - Kota Batu › Jember,193.0
2019-08-20,45,Stage 2 - Madiun › Kota Batu,157.8
2019-08-19,65,Stage 1 - Yogyakarta › Madiun,182.7
2019-07-21,DNF,Tokyo 2020 Test Event (1.2),180.2
2019-06-30,6,National Championships Hong Kong - Road Race (NC),120.7
2019-06-29,12,National Championships Hong Kong - ITT (NC),15.0
2019-06-16,46,Stage 5 - Seoul › Seoul,65.0
2019-06-15,80,Stage 4 - Samcheok › Goseong,127.0
2019-06-14,92,Stage 3 - Danyang › Samcheok,178.3
2019-06-13,47,Stage 2 - Cheonan › Danyang,161.6
2019-06-12,50,Stage 1 - Gunsan › Gunsan,63.0
2019-06-02,39,Stage 3 - Taiji  › Taiji ,104.3
2019-06-01,55,Stage 2 - Kumano › Kumano,109.3
2019-05-31,77,Stage 1 - Akagigawa Seiryu › Akagigawa Seiryu,100.4
2019-05-30,43,Prologue - Shingū  › Shingū ,0.7
2019-05-25,DNF,Stage 7 - Izu › Izu,122.0
2019-05-24,59,Stage 6 - Fuji › Fuji,36.0
2019-05-23,54,Stage 5 - Minamishinshu › Minamishinshu,123.6
2019-05-22,50,Stage 4 - Mino › Mino,139.4
2019-05-21,41,Stage 3 - Inabe › Inabe,127.0
2019-05-20,75,Stage 2 - Kyoto › Kyoto,105.0
2019-05-19,71,Prologue - Sakai › Sakai,2.6
2019-04-28,39,Asian Cycling Championships - Road Race (CC),166.6
2019-03-21,77,Stage 5 - Pingtung › Pingtung,192.8
2019-03-20,48,Stage 4 - Nantou › Xianshan Visitor Center,166.6
2019-03-19,62,Stage 3 - Hsinchu › Shigang,156.5
