date,result ranking,general classification,race name,distance,PCS point,UCI point,year
13.05,4,,ZLM Tour om de 'Arjaan de Schipper Trofee' () ,198.6,4,,2001
06.04 » 09.04,,,Le Triptyque des Monts et Châteaux () ,,,,2001
,24,,General classification ,,,,2001
09.04,33,,Stage 4 - Beloeil › Frasnes-lez-Buissenal ,154,,,2001
08.04,16,,Stage 3 - Flobecq › Chièvres ,125.3,,,2001
07.04,70,,Stage 2 (ITT) - Vieux Leuze › Vieux Leuze ,8.4,,,2001
06.04,19,,Stage 1 - Anvaing › Basècles ,164.9,,,2001
13.05,4.0,,ZLM Tour om de 'Arjaan de Schipper Trofee' () ,198.6,4,,2001
06.04 » 09.04,,,Le Triptyque des Monts et Châteaux () ,,,,2001
,24.0,,General classification ,,,,2001
09.04,33.0,,Stage 4 - Beloeil › Frasnes-lez-Buissenal ,154.0,,,2001
08.04,16.0,,Stage 3 - Flobecq › Chièvres ,125.3,,,2001
07.04,70.0,,Stage 2 (ITT) - Vieux Leuze › Vieux Leuze ,8.4,,,2001
06.04,19.0,,Stage 1 - Anvaing › Basècles ,164.9,,,2001
13.10,56.0,,World Championships U23 - Road Race (WC) ,169.0,,,2000
20.09 » 24.09,,,GP Tell (2.Ncup) ,,,,2000
,58.0,,General classification ,,,,2000
24.09,49.0,,Stage 5 - Zell › Oberägeri ,131.7,,,2000
23.09,76.0,,Stage 4 - Engelberg › Zell ,156.7,,,2000
22.09,48.0,,Stage 3a - Zofingen › Engelberg ,84.5,,,2000
22.09,66.0,,Stage 3b (ITT) - Wolfenschiessen › Engelberg ,12.8,,,2000
21.09,32.0,,Stage 2 - Luzern › Zofingen ,139.2,,,2000
20.09,41.0,,Stage 1 - Luzern › Luzern ,20.7,,,2000
01.08 » 05.08,,,Post Danmark Rundt (2.2) ,,,,2000
,51.0,,General classification ,,,,2000
05.08,15.0,,Stage 5 - Vordingborg › Frederiksberg ,175.0,,,2000
04.08,10.0,,Stage 4a - Lalandia › Nakskov ,113.0,,,2000
04.08,72.0,,Stage 4b (ITT) - Nysted › Nykøbing F ,17.0,,,2000
03.08,60.0,,Stage 3 - Skanderborg › Faaborg ,185.0,,,2000
02.08,105.0,,Stage 2 - Ikast › Horsens ,185.0,,,2000
01.08,58.0,,Stage 1 - Ringkøbing › Viborg ,215.0,,,2000
25.06,21.0,,National Championships Denmark - Road Race (NC) ,202.4,,,2000
12.04 » 16.04,,,Ster der Beloften (2.5) ,,,,2000
,6.0,,General classification ,,,,2000
08.10,41.0,,World Championships U23 - Road Race (WC) ,178.75,,,1999
30.05,10.0,,National Championships Denmark U23 - Road Race (NC) ,,,,1999
15.05,21.0,,Grand Prix Herning (1.4) ,196.0,,,1999
10.10,26.0,,World Championships MJ - Road Race (WC) ,121.5,,,1997
