date,result ranking,general classification,race name,distance,PCS point,UCI point,year
27.05 » 01.06,,,Vuelta Ciclista a Navarra (2.2) ,,,,2008
,14,,General classification ,,,,2008
01.06,3,,Stage 6 - Pamplona › Pamplona ,140,1,,2008
31.05,14,,Stage 5 - Villatuerta › Alto del Perdon ,137,,,2008
30.05,13,,Stage 4 - Alsasua › Villatuerta ,149,,,2008
29.05,4,,Stage 3 - San Adrian › Alsasua ,138,,,2008
28.05,6,,Stage 2 - Pitillas › Tudela ,113,,,2008
27.05,57,,Stage 1 (TTT) - Pitillas › Pitillas ,16,,,2008
27.05 » 01.06,,,Vuelta Ciclista a Navarra (2.2) ,,,,2008
,14.0,,General classification ,,,,2008
01.06,3.0,,Stage 6 - Pamplona › Pamplona ,140.0,1,,2008
31.05,14.0,,Stage 5 - Villatuerta › Alto del Perdon ,137.0,,,2008
30.05,13.0,,Stage 4 - Alsasua › Villatuerta ,149.0,,,2008
29.05,4.0,,Stage 3 - San Adrian › Alsasua ,138.0,,,2008
28.05,6.0,,Stage 2 - Pitillas › Tudela ,113.0,,,2008
27.05,57.0,,Stage 1 (TTT) - Pitillas › Pitillas ,16.0,,,2008
29.05 » 03.06,,,Vuelta Ciclista a Navarra (2.2) ,,,,2007
,81.0,,General classification ,,,,2007
03.06,73.0,,Stage 6 - Sabeco › Pamplona ,115.0,,,2007
02.06,78.0,89,Stage 5 - Lesaka › El Perdon ,144.0,,,2007
01.06,86.0,106,Stage 4 - Lizarte › Lesaka ,119.0,,,2007
31.05,92.0,106,Stage 3 - San Adrian › Sangüesa ,154.0,,,2007
30.05,76.0,108,Stage 2 - Tudela › San Adrian ,160.5,,,2007
29.05,112.0,112,Stage 1 - Sabeco › Tudela ,162.0,,,2007
26.05,87.0,,Clasica Internacional 'Txuma' (1.2) ,173.0,,,2007
